call_uid,call_start_local,traffic_src,campaign_name,device,call_count,missed_calls,qualified_calls,converted_calls,duration_sec,media_spend_aud,job_revenue_aud,call_status
CALL-10289,2025-01-26,Programmatic,Promo,mobile,4,1,1,0,180,24.46,646.24,answered
CALL-10290,2025-03-07,Direct,Emergency,desktop,5,1,0,0,210,,0.0,answered
CALL-10291,2025-03-06,Organic Search,Retargeting,mobile,6,2,1,1,355,,667.99,answered
CALL-10292,2025-03-18,Direct,Local Service,mobile,4,0,0,0,257,,0.0,answered
CALL-10293,2025-01-02,Programmatic,Promo,desktop,3,3,0,0,484,150.14,,missed
CALL-10294,2025-02-19,Google Ads,Generic,tablet,10,2,4,2,180,116.16,2248.43,answered
CALL-10295,2025-02-22,Email,Emergency,mobile,2,0,1,1,117,,170.63,answered
CALL-10296,2025-03-17,Organic Search,Local Service,mobile,2,0,0,0,129,,0.0,missed
CALL-10297,2025-03-07,Meta Ads,Generic,mobile,5,0,1,0,305,38.42,668.97,answered
CALL-10298,2025-03-10,Meta Ads,Emergency,mobile,4,2,1,0,307,96.12,534.76,answered
CALL-10299,2025-01-12,Email,Brand,tablet,5,0,0,0,219,,0.0,voicemail
CALL-10300,2025-02-08,Google Ads,Competitor,desktop,3,1,2,1,120,119.22,1982.07,voicemail
CALL-10301,2025-01-08,Direct,Emergency,mobile,4,1,2,1,360,,1021.81,answered
CALL-10302,2025-03-09,Google Ads,Emergency,desktop,7,1,2,0,404,119.41,,answered
CALL-10303,2025-01-18,Google Ads,Emergency,desktop,6,2,1,0,217,175.71,,answered
CALL-10304,2025-01-03,Google Ads,Promo,mobile,8,2,5,2,329,168.88,5232.78,missed
CALL-10305,2025-02-04,Direct,Retargeting,mobile,2,0,0,0,141,,,answered
CALL-10306,2025-01-09,Google Ads,Competitor,desktop,7,2,2,2,490,124.76,,answered
CALL-10307,2025-01-11,Meta Ads,Promo,mobile,7,0,0,0,182,66.22,0.0,answered
CALL-10308,2025-02-07,Google Ads,Retargeting,mobile,11,0,5,4,529,37.27,,missed
CALL-10309,2025-01-21,Referral,Retargeting,mobile,3,0,2,2,134,,2391.7,missed
CALL-10310,2025-03-28,Google Ads,Competitor,mobile,2,1,1,1,219,55.31,,answered
CALL-10311,2025-01-31,Google Ads,Brand,mobile,7,2,1,0,486,75.78,952.1,answered
CALL-10312,2025-01-15,Google Ads,Retargeting,mobile,12,3,5,2,69,173.91,4567.57,answered
CALL-10313,2025-01-28,Google Ads,Competitor,mobile,5,1,2,1,441,24.28,1931.33,answered
CALL-10314,2025-03-30,Organic Search,Competitor,mobile,2,0,0,0,186,,0.0,answered
CALL-10315,2025-01-17,Organic Search,Brand,desktop,2,0,0,0,122,,0.0,answered
CALL-10316,2025-03-07,Referral,Promo,mobile,2,0,0,0,174,,0.0,answered
CALL-10317,2025-03-07,Programmatic,Generic,mobile,3,0,2,2,116,67.93,,answered
CALL-10318,2025-03-21,Google Ads,Promo,desktop,7,2,2,2,223,208.68,1810.13,answered
CALL-10319,2025-01-14,Meta Ads,Brand,desktop,8,0,5,3,244,84.79,2637.02,answered
CALL-10320,2025-01-12,Referral,Competitor,desktop,3,0,2,1,357,,2158.95,answered
CALL-10321,2025-03-07,Direct,Local Service,tablet,1,0,0,0,107,,0.0,answered
CALL-10322,2025-03-10,Referral,Promo,mobile,3,0,0,0,166,,,abandoned
CALL-10323,2025-01-12,Meta Ads,Brand,mobile,3,0,1,1,185,151.49,476.36,answered
CALL-10324,2025-01-30,Direct,Promo,mobile,3,0,1,1,317,,417.82,answered
CALL-10325,2025-03-09,Email,Retargeting,mobile,2,0,0,0,92,,0.0,answered
CALL-10326,2025-03-18,Referral,Generic,mobile,4,0,1,0,91,,1174.68,answered
CALL-10327,2025-01-05,Organic Search,Brand,desktop,4,0,3,1,254,,1305.2,answered
CALL-10328,2025-03-13,Referral,Generic,tablet,2,0,0,0,386,,0.0,missed
CALL-10329,2025-03-18,Meta Ads,Competitor,desktop,8,2,0,0,235,50.59,,answered
CALL-10330,2025-01-09,Email,Promo,mobile,2,0,1,0,282,,490.79,answered
CALL-10331,2025-03-03,Direct,Promo,mobile,5,0,1,0,113,,731.72,answered
CALL-10332,2025-01-13,Organic Search,Generic,mobile,1,0,1,0,396,,406.82,abandoned
CALL-10333,2025-02-27,Programmatic,Local Service,desktop,2,0,1,1,208,88.72,1000.18,answered
CALL-10334,2025-03-11,Google Ads,Competitor,mobile,4,0,3,1,195,22.06,2298.18,missed
CALL-10335,2025-02-10,Google Ads,Retargeting,mobile,9,1,3,2,306,35.48,2623.42,answered
CALL-10336,2025-01-03,Referral,Promo,mobile,2,0,2,0,201,,2622.19,answered
CALL-10337,2025-02-18,Email,Competitor,mobile,1,0,0,0,248,,0.0,missed
CALL-10338,2025-01-28,Organic Search,Competitor,desktop,5,1,2,1,117,,,missed
CALL-10339,2025-02-18,Meta Ads,Promo,mobile,4,0,0,0,197,66.71,0.0,answered
CALL-10340,2025-01-08,Organic Search,Retargeting,mobile,5,3,2,2,78,,2005.1,missed
CALL-10341,2025-03-26,Referral,Generic,mobile,2,0,2,0,138,,2341.83,missed
CALL-10342,2025-02-13,Google Ads,Promo,mobile,13,2,8,5,162,228.5,,missed
CALL-10343,2025-03-27,Meta Ads,Emergency,mobile,3,0,0,0,186,85.36,0.0,answered
CALL-10344,2025-02-11,Meta Ads,Generic,mobile,7,3,0,0,126,74.06,0.0,answered
CALL-10345,2025-01-16,Referral,Retargeting,mobile,4,0,1,1,293,,1136.09,answered
CALL-10346,2025-01-16,Referral,Brand,mobile,3,0,0,0,222,,0.0,answered
CALL-10347,2025-03-30,Organic Search,Local Service,mobile,3,0,0,0,212,,0.0,abandoned
CALL-10348,2025-01-08,Google Ads,Retargeting,mobile,4,0,2,1,151,119.12,1793.81,answered
CALL-10349,2025-01-17,Referral,Brand,mobile,3,0,3,0,225,,,answered
CALL-10350,2025-02-06,Programmatic,Brand,mobile,6,2,4,2,112,45.82,1861.28,missed
CALL-10351,2025-03-26,Direct,Promo,desktop,3,0,1,1,188,,773.14,voicemail
CALL-10352,2025-03-13,Organic Search,Emergency,mobile,1,0,0,0,535,,0.0,voicemail
CALL-10353,2025-02-05,Google Ads,Competitor,mobile,5,0,0,0,420,112.38,0.0,answered
CALL-10354,2025-02-06,Email,Brand,mobile,2,0,1,0,120,,273.85,answered
CALL-10355,2025-02-11,Google Ads,Emergency,mobile,4,0,2,1,339,43.77,1950.21,abandoned
CALL-10356,2025-03-27,Google Ads,Emergency,mobile,4,1,1,1,191,32.1,,answered
CALL-10357,2025-01-11,Organic Search,Competitor,mobile,3,0,0,0,235,,0.0,answered
CALL-10358,2025-02-06,Direct,Emergency,desktop,2,0,1,0,189,,721.58,answered
CALL-10359,2025-02-27,Google Ads,Promo,mobile,5,0,3,1,302,52.44,2739.35,answered
