ticket_ref,opened_date,service_line,agent_team,region,case_count,missed_contacts,resolved_count,escalation_count,reopen_count,avg_response_minutes,talk_time_seconds,csat_score
TCK-5303,2026-02-03,General,Specialist,WA,4,0,4,0,0,42.7,2817,4.03
TCK-5304,2026-02-11,Technical Support,East,QLD,5,0,5,0,0,56.4,1545,3.56
TCK-5305,2026-02-18,VIP,West,VIC,9,4,5,1,0,87.3,4694,3.85
TCK-5306,2026-02-26,Retention,Specialist,NSW,4,0,4,1,0,21.1,3379,4.24
TCK-5307,2026-03-20,Technical Support,Specialist,NSW,7,2,6,4,1,11.4,13024,4.35
TCK-5308,2026-02-10,General,West,VIC,7,2,6,0,0,117.1,5921,4.27
TCK-5309,2026-04-10,Retention,East,NSW,6,1,4,0,0,62.5,5850,4.38
TCK-5310,2026-02-08,Billing,West,NSW,2,0,2,0,0,44.6,1206,3.9
TCK-5311,2026-03-02,VIP,West,WA,2,0,2,1,0,56.6,1180,3.79
TCK-5312,2026-03-21,New Install,Specialist,NSW,4,0,3,0,0,81.9,7964,4.21
TCK-5313,2026-02-12,New Install,East,VIC,5,0,3,1,1,30.3,1359,3.73
TCK-5314,2026-02-10,VIP,South,WA,4,1,4,1,0,72.2,1230,3.56
TCK-5315,2026-04-09,Retention,Specialist,QLD,12,1,11,5,1,59.4,13839,4.27
TCK-5316,2026-03-31,General,North,NSW,5,0,4,1,0,45.7,3539,4.36
TCK-5317,2026-04-10,Technical Support,North,WA,7,2,6,1,2,58.5,3468,3.84
TCK-5318,2026-03-11,VIP,West,NSW,6,1,4,4,1,114.8,8210,4.75
TCK-5319,2026-02-02,Technical Support,Specialist,NSW,10,2,8,1,0,23.2,4138,3.39
TCK-5320,2026-02-11,VIP,Specialist,QLD,8,5,7,3,1,111.5,3556,3.97
TCK-5321,2026-02-18,Retention,East,NSW,5,0,5,0,1,42.1,4145,3.86
TCK-5322,2026-02-18,New Install,West,QLD,10,3,7,1,0,38.8,11251,3.59
TCK-5323,2026-02-08,Billing,South,VIC,10,0,10,2,0,101.4,4802,4.12
TCK-5324,2026-02-14,Technical Support,South,VIC,4,0,3,0,0,39.2,2829,4.46
TCK-5325,2026-04-08,Billing,East,WA,7,2,5,0,0,45.3,9334,3.37
TCK-5326,2026-03-29,Retention,Specialist,NSW,4,1,3,0,0,28.6,5323,3.75
TCK-5327,2026-03-26,Technical Support,West,NSW,4,1,3,1,1,52.0,4682,3.66
TCK-5328,2026-02-23,Billing,West,WA,3,0,3,0,0,55.1,4287,4.2
TCK-5329,2026-03-23,Billing,North,QLD,9,1,9,0,1,24.3,4246,3.6
