event_ref,call_started_at,traffic_origin,utm_campaign_name,device_type,call_result,talk_seconds,qualified_flag,booking_created,ad_cost_aud,estimated_job_value_aud,tracking_line_type,region
CT2-10263,2026-02-28,Social Paid,Service NSW,desktop,answered,0,0,0,32.24,,DNI,SA
CT2-10264,2026-03-01,Social Paid,Competitor Terms,mobile,abandoned,0,0,0,31.11,,Static,QLD
CT2-10265,2026-03-02,Organic Search,Retarget Q1,tablet,answered,126,1,0,0,,DNI,VIC
CT2-10266,2026-03-03,Paid Search,Emergency Repair,tablet,answered,201,1,0,56.51,,Static,VIC
CT2-10267,2026-03-04,Paid Search,Install Quote,desktop,answered,168,1,0,59.24,,DNI,SA
CT2-10268,2026-03-05,Paid Search,Local Suburb,mobile,answered,268,1,0,52.06,,Static,NSW
CT2-10269,2026-03-06,Paid Search,Retarget Q1,tablet,voicemail,0,0,0,45.27,,DNI,VIC
CT2-10270,2026-03-07,Direct,Emergency Repair,desktop,answered,266,0,0,0,,DNI,NSW
CT2-10271,2026-03-08,Paid Search,Local Suburb,tablet,answered,101,1,0,75.02,,Static,NSW
CT2-10272,2026-03-09,Organic Search,Service NSW,desktop,answered,244,1,0,12.3,,Pool,QLD
CT2-10273,2026-03-10,Social Paid,Local Suburb,desktop,answered,297,0,0,45.57,,Static,NSW
CT2-10274,2026-03-11,Paid Search,Retarget Q1,desktop,missed,105,0,0,52.11,,Pool,NSW
CT2-10275,2026-03-12,Direct,Local Suburb,mobile,answered,244,0,0,0,,Pool,NSW
CT2-10276,2026-03-13,Direct,Install Quote,desktop,answered,168,0,0,7.59,,Static,SA
CT2-10277,2026-03-14,Local SEO,Install Quote,tablet,answered,206,1,0,9.09,,DNI,NSW
CT2-10278,2026-03-15,Local SEO,Emergency Repair,tablet,answered,199,0,0,0,,DNI,SA
CT2-10279,2026-03-16,Display,Install Quote,desktop,answered,106,0,0,9.53,,Pool,VIC
CT2-10280,2026-03-17,Paid Search,Competitor Terms,mobile,answered,233,0,0,59.68,,Pool,QLD
CT2-10281,2026-03-18,Local SEO,Local Suburb,mobile,missed,0,0,0,0,,DNI,NSW
CT2-10282,2026-03-19,Organic Search,Emergency Repair,desktop,answered,315,1,0,11.3,,Pool,VIC
CT2-10283,2026-03-20,Referral Partner,Competitor Terms,tablet,answered,198,1,0,14.84,,Static,SA
CT2-10284,2026-03-21,Paid Search,Install Quote,mobile,abandoned,65,0,0,60.13,,Static,QLD
CT2-10285,2026-03-22,Paid Search,Local Suburb,desktop,answered,222,1,0,63.47,,Pool,VIC
CT2-10286,2026-03-23,Organic Search,Service NSW,mobile,answered,112,0,0,20.75,,DNI,NSW
CT2-10287,2026-03-24,Referral Partner,Brand AU,mobile,answered,110,1,1,2.96,,Pool,VIC
CT2-10288,2026-03-25,Social Paid,Service NSW,mobile,answered,252,0,0,39.19,,Static,NSW
CT2-10289,2026-03-26,Local SEO,Install Quote,mobile,answered,189,1,0,8.33,,DNI,VIC
CT2-10290,2026-03-27,Direct,Competitor Terms,desktop,answered,367,1,0,0.23,,Pool,VIC
CT2-10291,2026-03-28,Social Paid,Competitor Terms,mobile,answered,163,1,0,41.14,,DNI,NSW
CT2-10292,2026-03-29,Paid Search,Retarget Q1,desktop,answered,149,1,1,51.86,552.09,Static,NSW
CT2-10293,2026-03-30,Organic Search,Retarget Q1,mobile,voicemail,0,0,0,11.23,,DNI,NSW
CT2-10294,2026-03-31,Organic Search,Competitor Terms,desktop,missed,8,0,0,0.08,,DNI,NSW
CT2-10295,2026-04-01,Display,Local Suburb,mobile,answered,381,0,0,32.43,,Pool,QLD
CT2-10296,2026-04-02,Paid Search,Retarget Q1,desktop,missed,28,0,0,42.78,,Pool,VIC
CT2-10297,2026-04-03,Display,Local Suburb,mobile,answered,120,0,0,36.87,,DNI,QLD
CT2-10298,2026-04-04,Social Paid,Competitor Terms,tablet,voicemail,12,0,0,44.17,,DNI,QLD
CT2-10299,2026-04-05,Paid Search,Install Quote,mobile,answered,182,1,0,46.36,,DNI,QLD
CT2-10300,2026-04-06,Display,Install Quote,mobile,answered,121,0,0,16.45,,Static,SA
CT2-10301,2026-04-07,Paid Search,Brand AU,tablet,answered,173,0,0,33.38,,Pool,NSW
CT2-10302,2026-04-08,Display,Competitor Terms,tablet,abandoned,0,0,0,16.72,,Pool,VIC
CT2-10303,2026-04-09,Direct,Competitor Terms,mobile,answered,229,0,0,4.18,,Static,QLD
CT2-10304,2026-04-10,Local SEO,Emergency Repair,mobile,missed,0,0,0,11.88,,DNI,NSW
CT2-10305,2026-04-11,Social Paid,Competitor Terms,desktop,answered,305,0,0,34.84,,Static,NSW
CT2-10306,2026-04-12,Local SEO,Brand AU,tablet,answered,239,1,1,19.56,1268.07,Pool,VIC
CT2-10307,2026-04-13,Organic Search,Retarget Q1,tablet,answered,149,0,0,12.5,,Static,QLD
CT2-10308,2026-04-14,Paid Search,Service NSW,desktop,answered,205,1,0,52.87,,Pool,NSW
CT2-10309,2026-04-15,Social Paid,Competitor Terms,tablet,missed,0,0,0,38.92,,Static,NSW
CT2-10310,2026-04-16,Direct,Service NSW,desktop,answered,265,0,0,2.69,,Static,QLD
CT2-10311,2026-04-17,Local SEO,Service NSW,tablet,voicemail,49,0,0,13.19,,Pool,SA
CT2-10312,2026-04-18,Local SEO,Competitor Terms,desktop,answered,320,0,0,11.3,,Static,SA
CT2-10313,2026-01-05,Paid Search,Brand AU,desktop,voicemail,142,0,0,46.76,,Pool,VIC
CT2-10314,2026-01-06,Paid Search,Local Suburb,mobile,answered,98,0,0,63.96,,DNI,SA
CT2-10315,2026-01-07,Paid Search,Install Quote,mobile,answered,188,1,0,59.35,,Pool,NSW
CT2-10316,2026-01-08,Organic Search,Install Quote,tablet,answered,174,0,0,0,,DNI,NSW
CT2-10317,2026-01-09,Referral Partner,Service NSW,mobile,answered,152,0,0,8.1,,DNI,NSW
CT2-10318,2026-01-10,Paid Search,Service NSW,tablet,missed,29,0,0,42.67,,Static,NSW
CT2-10319,2026-01-11,Direct,Competitor Terms,tablet,abandoned,0,0,0,12.86,,Pool,NSW
CT2-10320,2026-01-12,Social Paid,Competitor Terms,desktop,answered,208,0,0,45.56,,DNI,NSW
CT2-10321,2026-01-13,Paid Search,Service NSW,tablet,answered,252,1,1,57.67,535.77,Pool,VIC
CT2-10322,2026-01-14,Organic Search,Emergency Repair,tablet,voicemail,13,0,0,0,,Static,VIC
CT2-10323,2026-01-15,Local SEO,Retarget Q1,tablet,missed,11,0,0,0,,Static,SA
CT2-10324,2026-01-16,Paid Search,Service NSW,mobile,missed,112,0,0,52.06,,Pool,QLD
CT2-10325,2026-01-17,Paid Search,Service NSW,tablet,answered,118,1,0,56.87,,Static,VIC
CT2-10326,2026-01-18,Direct,Competitor Terms,mobile,answered,199,0,0,0,,Static,NSW
CT2-10327,2026-01-19,Organic Search,Retarget Q1,mobile,answered,166,1,0,25.17,,Static,QLD
CT2-10328,2026-01-20,Organic Search,Install Quote,desktop,abandoned,88,0,0,0,,Pool,NSW
CT2-10329,2026-01-21,Paid Search,Competitor Terms,mobile,answered,189,0,0,48.7,,DNI,SA
CT2-10330,2026-01-22,Referral Partner,Local Suburb,desktop,answered,225,1,1,19.36,1005.72,DNI,NSW
CT2-10331,2026-01-23,Organic Search,Retarget Q1,desktop,answered,111,1,1,0,474.84,Static,QLD
CT2-10332,2026-01-24,Direct,Service NSW,mobile,answered,213,0,0,0,,DNI,NSW
CT2-10333,2026-01-25,Paid Search,Emergency Repair,tablet,answered,118,1,0,64.11,,Pool,QLD
CT2-10334,2026-01-26,Paid Search,Install Quote,desktop,answered,135,1,0,64.71,,Static,NSW
CT2-10335,2026-01-27,Referral Partner,Service NSW,tablet,abandoned,0,0,0,1.63,,Pool,SA
CT2-10336,2026-01-28,Direct,Install Quote,mobile,answered,248,1,0,16.93,,DNI,NSW
CT2-10337,2026-01-29,Organic Search,Competitor Terms,desktop,answered,244,1,0,0,,Pool,NSW
CT2-10338,2026-01-30,Direct,Local Suburb,desktop,answered,254,1,1,0,,Static,SA
CT2-10339,2026-01-31,Organic Search,Local Suburb,tablet,answered,271,0,0,0,,Static,QLD
CT2-10340,2026-02-01,Paid Search,Emergency Repair,mobile,answered,162,1,0,70.73,,Pool,NSW
CT2-10341,2026-02-02,Direct,Competitor Terms,tablet,answered,147,1,0,0,,DNI,QLD
CT2-10342,2026-02-03,Paid Search,Install Quote,mobile,answered,168,0,0,61.78,,DNI,SA
CT2-10343,2026-02-04,Organic Search,Install Quote,tablet,answered,145,1,1,0,1403.14,Static,SA
CT2-10344,2026-02-05,Local SEO,Competitor Terms,mobile,answered,117,0,0,2.86,,DNI,QLD
CT2-10345,2026-02-06,Local SEO,Install Quote,mobile,answered,411,0,0,2.17,,Pool,SA
CT2-10346,2026-02-07,Paid Search,Brand AU,tablet,voicemail,51,0,0,59.53,,Pool,QLD
CT2-10347,2026-02-08,Paid Search,Emergency Repair,desktop,answered,276,0,0,54.92,,Pool,QLD
CT2-10348,2026-02-09,Paid Search,Local Suburb,tablet,answered,304,0,0,59.71,,DNI,QLD
CT2-10349,2026-02-10,Paid Search,Install Quote,tablet,answered,138,1,0,46.04,,Static,NSW
CT2-10350,2026-02-11,Paid Search,Install Quote,desktop,missed,70,0,0,71.53,,DNI,QLD
CT2-10351,2026-02-12,Paid Search,Install Quote,mobile,answered,168,1,1,48.47,,DNI,NSW
CT2-10352,2026-02-13,Paid Search,Emergency Repair,desktop,answered,238,0,0,58.7,,Pool,SA
CT2-10353,2026-02-14,Paid Search,Brand AU,desktop,answered,96,1,0,33.79,,Static,QLD
CT2-10354,2026-02-15,Referral Partner,Emergency Repair,tablet,answered,174,1,0,19.55,,DNI,QLD
CT2-10355,2026-02-16,Organic Search,Brand AU,desktop,answered,155,1,0,7.31,,DNI,QLD
CT2-10356,2026-02-17,Social Paid,Competitor Terms,mobile,voicemail,130,0,0,42.64,,Static,NSW
CT2-10357,2026-02-18,Paid Search,Brand AU,mobile,answered,352,1,0,66.67,,DNI,NSW
CT2-10358,2026-02-19,Display,Competitor Terms,mobile,answered,102,0,0,29.8,,DNI,SA
CT2-10359,2026-02-20,Organic Search,Competitor Terms,mobile,answered,252,0,0,0,,DNI,QLD
CT2-10360,2026-02-21,Local SEO,Install Quote,mobile,answered,285,1,0,17.65,,Static,SA
CT2-10361,2026-02-22,Direct,Local Suburb,mobile,answered,154,0,0,0,,DNI,VIC
CT2-10362,2026-02-23,Social Paid,Emergency Repair,tablet,answered,244,0,0,33.77,,Pool,VIC
CT2-10363,2026-02-24,Organic Search,Install Quote,desktop,answered,368,0,0,6.89,,Pool,QLD
CT2-10364,2026-02-25,Paid Search,Local Suburb,mobile,answered,90,0,0,62.86,,Pool,QLD
CT2-10365,2026-02-26,Paid Search,Service NSW,desktop,missed,37,0,0,65.05,,Static,SA
CT2-10366,2026-02-27,Paid Search,Local Suburb,tablet,answered,202,1,1,63.95,,Pool,VIC
CT2-10367,2026-02-28,Local SEO,Emergency Repair,desktop,voicemail,0,0,0,3.01,,Static,SA
CT2-10368,2026-03-01,Social Paid,Install Quote,desktop,abandoned,58,0,0,36.31,,Static,VIC
CT2-10369,2026-03-02,Paid Search,Brand AU,desktop,answered,245,0,0,31.74,,DNI,VIC
CT2-10370,2026-03-03,Display,Retarget Q1,desktop,answered,128,0,0,31.26,,Static,SA
CT2-10371,2026-03-04,Local SEO,Local Suburb,desktop,answered,224,1,0,0,,Pool,VIC
CT2-10372,2026-03-05,Organic Search,Brand AU,mobile,answered,372,1,0,8.82,,Pool,NSW
CT2-10373,2026-03-06,Display,Install Quote,tablet,answered,64,0,0,32.61,,DNI,QLD
CT2-10374,2026-03-07,Paid Search,Competitor Terms,mobile,abandoned,60,0,0,53.39,,DNI,SA
CT2-10375,2026-03-08,Organic Search,Brand AU,desktop,answered,351,1,0,10.48,,Static,NSW
CT2-10376,2026-03-09,Paid Search,Service NSW,desktop,answered,241,1,1,50.15,833.02,Static,SA
CT2-10377,2026-03-10,Referral Partner,Local Suburb,desktop,answered,171,0,0,26.67,,DNI,VIC
CT2-10378,2026-03-11,Social Paid,Service NSW,tablet,voicemail,15,0,0,32.17,,Pool,QLD
CT2-10379,2026-03-12,Referral Partner,Local Suburb,mobile,answered,286,0,0,10.43,,DNI,NSW
CT2-10380,2026-03-13,Paid Search,Retarget Q1,mobile,answered,144,0,0,65.37,,Static,SA
CT2-10381,2026-03-14,Display,Local Suburb,mobile,answered,218,0,0,29.15,,Static,QLD
CT2-10382,2026-03-15,Paid Search,Competitor Terms,tablet,answered,86,0,0,54.51,,Static,VIC
CT2-10383,2026-03-16,Paid Search,Install Quote,tablet,voicemail,0,0,0,39.6,,DNI,SA
CT2-10384,2026-03-17,Paid Search,Local Suburb,mobile,answered,167,0,0,37.07,,DNI,NSW
CT2-10385,2026-03-18,Paid Search,Competitor Terms,desktop,answered,350,0,0,55.19,,DNI,VIC
CT2-10386,2026-03-19,Paid Search,Service NSW,tablet,answered,201,0,0,55.11,,DNI,QLD
CT2-10387,2026-03-20,Organic Search,Local Suburb,desktop,answered,328,1,1,10.33,1441.99,DNI,QLD
CT2-10388,2026-03-21,Direct,Local Suburb,desktop,answered,151,0,0,8.34,,Static,NSW
CT2-10389,2026-03-22,Organic Search,Install Quote,mobile,answered,241,0,0,0.54,,Pool,VIC
CT2-10390,2026-03-23,Social Paid,Emergency Repair,mobile,answered,62,0,0,30.81,,Pool,NSW
CT2-10391,2026-03-24,Organic Search,Competitor Terms,tablet,abandoned,168,0,0,7.26,,Pool,VIC
CT2-10392,2026-03-25,Paid Search,Emergency Repair,mobile,abandoned,63,0,0,63.55,,Static,VIC
CT2-10393,2026-03-26,Direct,Service NSW,tablet,missed,124,0,0,0,,Static,QLD
CT2-10394,2026-03-27,Local SEO,Brand AU,mobile,answered,151,1,0,10.88,,DNI,QLD
CT2-10395,2026-03-28,Paid Search,Retarget Q1,desktop,answered,345,0,0,48.12,,Static,QLD
CT2-10396,2026-03-29,Paid Search,Retarget Q1,tablet,answered,226,0,0,46.28,,Pool,NSW
CT2-10397,2026-03-30,Paid Search,Local Suburb,mobile,answered,204,0,0,68.74,,DNI,NSW
CT2-10398,2026-03-31,Referral Partner,Emergency Repair,desktop,answered,0,0,0,14.76,,Pool,SA
CT2-10399,2026-04-01,Referral Partner,Competitor Terms,desktop,answered,237,0,0,34.97,,DNI,NSW
CT2-10400,2026-04-02,Organic Search,Brand AU,mobile,answered,188,0,0,0,,Static,VIC
CT2-10401,2026-04-03,Local SEO,Retarget Q1,desktop,answered,145,0,0,13.71,,Static,QLD
CT2-10402,2026-04-04,Paid Search,Local Suburb,desktop,answered,279,0,0,50.15,,Static,NSW
CT2-10403,2026-04-05,Organic Search,Service NSW,desktop,answered,191,1,1,5.41,,Static,QLD
CT2-10404,2026-04-06,Paid Search,Install Quote,mobile,answered,297,0,0,51.71,,Pool,VIC
CT2-10405,2026-04-07,Local SEO,Competitor Terms,tablet,missed,37,0,0,0,,Pool,NSW
CT2-10406,2026-04-08,Organic Search,Local Suburb,desktop,answered,189,0,0,0,,Pool,QLD
CT2-10407,2026-04-09,Direct,Brand AU,tablet,answered,163,1,0,8.98,,DNI,SA
CT2-10408,2026-04-10,Direct,Install Quote,mobile,answered,247,0,0,5.93,,Pool,VIC
CT2-10409,2026-04-11,Paid Search,Brand AU,mobile,voicemail,5,0,0,52.39,,DNI,QLD
CT2-10410,2026-04-12,Paid Search,Emergency Repair,desktop,answered,170,1,0,49.38,,Pool,SA
CT2-10411,2026-04-13,Paid Search,Install Quote,desktop,abandoned,0,0,0,39.92,,DNI,SA
CT2-10412,2026-04-14,Referral Partner,Retarget Q1,desktop,answered,354,1,0,20.05,,Pool,QLD
CT2-10413,2026-04-15,Social Paid,Competitor Terms,desktop,answered,161,0,0,43.51,,Pool,NSW
CT2-10414,2026-04-16,Social Paid,Retarget Q1,desktop,missed,108,0,0,48.44,,Pool,NSW
CT2-10415,2026-04-17,Referral Partner,Competitor Terms,desktop,answered,256,1,0,9.3,,Pool,NSW
CT2-10416,2026-04-18,Organic Search,Brand AU,desktop,answered,204,1,0,4.06,,Static,SA
CT2-10417,2026-01-05,Direct,Retarget Q1,tablet,missed,0,0,0,5.92,,Pool,NSW
CT2-10418,2026-01-06,Paid Search,Brand AU,desktop,answered,214,1,0,41.28,,Static,SA
CT2-10419,2026-01-07,Paid Search,Competitor Terms,tablet,answered,264,1,0,38.87,,DNI,SA
CT2-10420,2026-01-08,Paid Search,Local Suburb,tablet,answered,156,0,0,46.35,,Pool,QLD
CT2-10421,2026-01-09,Referral Partner,Install Quote,desktop,answered,226,1,0,30.51,,Pool,NSW
CT2-10422,2026-01-10,Paid Search,Local Suburb,desktop,answered,133,1,0,28.61,,Static,VIC
CT2-10423,2026-01-11,Local SEO,Install Quote,mobile,answered,203,1,0,23.6,,Static,SA
CT2-10424,2026-01-12,Paid Search,Retarget Q1,desktop,missed,94,0,0,51.49,,Static,NSW
CT2-10425,2026-01-13,Paid Search,Install Quote,mobile,answered,295,1,0,41.58,,Pool,QLD
CT2-10426,2026-01-14,Direct,Install Quote,tablet,answered,266,0,0,0,,Pool,SA
CT2-10427,2026-01-15,Social Paid,Emergency Repair,tablet,answered,147,1,1,19.71,655.07,DNI,QLD
CT2-10428,2026-01-16,Direct,Competitor Terms,desktop,answered,130,0,0,3.4,,Static,QLD
CT2-10429,2026-01-17,Organic Search,Install Quote,mobile,missed,110,0,0,26.62,,Static,NSW
CT2-10430,2026-01-18,Social Paid,Install Quote,desktop,answered,155,1,0,53.73,,Static,SA
CT2-10431,2026-01-19,Referral Partner,Brand AU,mobile,answered,245,1,0,4.88,,DNI,SA
CT2-10432,2026-01-20,Organic Search,Local Suburb,tablet,answered,69,0,0,5.8,,Static,VIC
CT2-10433,2026-01-21,Referral Partner,Install Quote,desktop,answered,244,0,0,16.08,,DNI,VIC
CT2-10434,2026-01-22,Paid Search,Service NSW,mobile,missed,83,0,0,46.63,,DNI,SA
CT2-10435,2026-01-23,Paid Search,Service NSW,tablet,answered,149,1,0,27.45,,Pool,VIC
CT2-10436,2026-01-24,Local SEO,Competitor Terms,mobile,abandoned,18,0,0,20.62,,Pool,QLD
CT2-10437,2026-01-25,Paid Search,Competitor Terms,tablet,answered,206,1,1,47.68,1214.71,Pool,SA
CT2-10438,2026-01-26,Social Paid,Brand AU,desktop,answered,0,0,0,38.83,,Pool,NSW
CT2-10439,2026-01-27,Social Paid,Retarget Q1,desktop,missed,0,0,0,34.17,,Static,SA
CT2-10440,2026-01-28,Direct,Retarget Q1,tablet,answered,207,1,0,0,,Static,NSW
CT2-10441,2026-01-29,Direct,Brand AU,mobile,answered,253,0,0,0,,DNI,SA
CT2-10442,2026-01-30,Organic Search,Competitor Terms,mobile,answered,264,1,0,18.14,,Static,QLD
CT2-10443,2026-01-31,Direct,Install Quote,tablet,missed,0,0,0,4.5,,Static,SA
CT2-10444,2026-02-01,Direct,Local Suburb,mobile,voicemail,170,0,0,0,,Pool,SA
CT2-10445,2026-02-02,Paid Search,Local Suburb,mobile,voicemail,67,0,0,51.97,,Static,VIC
CT2-10446,2026-02-03,Social Paid,Service NSW,desktop,answered,237,0,0,41.9,,Pool,SA
CT2-10447,2026-02-04,Direct,Emergency Repair,tablet,answered,188,0,0,0,,Static,VIC
CT2-10448,2026-02-05,Organic Search,Competitor Terms,desktop,answered,220,0,0,0,,DNI,QLD
CT2-10449,2026-02-06,Paid Search,Service NSW,tablet,answered,226,0,0,37.22,,DNI,NSW
CT2-10450,2026-02-07,Direct,Local Suburb,mobile,missed,93,0,0,0.91,,Static,VIC
CT2-10451,2026-02-08,Paid Search,Local Suburb,tablet,missed,175,0,0,53.12,,DNI,QLD
CT2-10452,2026-02-09,Paid Search,Local Suburb,mobile,answered,96,0,0,46.54,,Pool,QLD
CT2-10453,2026-02-10,Paid Search,Local Suburb,mobile,answered,293,0,0,39.25,,Pool,SA
CT2-10454,2026-02-11,Paid Search,Service NSW,desktop,answered,232,1,1,70.24,1609.52,DNI,QLD
CT2-10455,2026-02-12,Referral Partner,Emergency Repair,desktop,answered,62,0,0,31.98,,DNI,QLD
CT2-10456,2026-02-13,Social Paid,Brand AU,tablet,missed,58,0,0,40.49,,DNI,VIC
CT2-10457,2026-02-14,Organic Search,Competitor Terms,tablet,abandoned,0,0,0,7.28,,Static,NSW
CT2-10458,2026-02-15,Social Paid,Competitor Terms,tablet,answered,216,1,0,37.7,,Static,NSW
CT2-10459,2026-02-16,Paid Search,Competitor Terms,mobile,abandoned,102,0,0,28.72,,Pool,VIC
CT2-10460,2026-02-17,Organic Search,Retarget Q1,mobile,answered,212,1,0,14.16,,DNI,NSW
CT2-10461,2026-02-18,Social Paid,Emergency Repair,tablet,answered,172,1,0,35.93,,Static,VIC
CT2-10462,2026-02-19,Social Paid,Competitor Terms,desktop,abandoned,25,0,0,40.17,,DNI,QLD
CT2-10463,2026-02-20,Display,Retarget Q1,tablet,answered,169,0,0,31.09,,Static,VIC
CT2-10464,2026-02-21,Organic Search,Local Suburb,desktop,answered,27,0,0,10.08,,Pool,SA
CT2-10465,2026-02-22,Paid Search,Brand AU,tablet,answered,221,0,0,73.7,,Static,VIC
CT2-10466,2026-02-23,Direct,Local Suburb,desktop,missed,213,0,0,4.12,,DNI,SA
CT2-10467,2026-02-24,Referral Partner,Install Quote,desktop,answered,203,0,0,12.09,,DNI,VIC
CT2-10468,2026-02-25,Paid Search,Brand AU,mobile,answered,197,1,0,45.9,,Pool,SA
CT2-10469,2026-02-26,Organic Search,Emergency Repair,tablet,answered,127,0,0,4.26,,Pool,NSW
CT2-10470,2026-02-27,Direct,Brand AU,tablet,answered,195,0,0,15.13,,Static,QLD
CT2-10471,2026-02-28,Referral Partner,Competitor Terms,tablet,answered,175,0,0,9.93,,Pool,SA
CT2-10472,2026-03-01,Paid Search,Brand AU,mobile,voicemail,25,0,0,45.14,,Pool,QLD
CT2-10473,2026-03-02,Organic Search,Local Suburb,tablet,missed,40,0,0,0,,DNI,QLD
CT2-10474,2026-03-03,Paid Search,Brand AU,tablet,answered,314,1,0,36.2,,Static,VIC
CT2-10475,2026-03-04,Social Paid,Service NSW,mobile,answered,182,0,0,35.25,,DNI,SA
CT2-10476,2026-03-05,Social Paid,Retarget Q1,mobile,answered,0,0,0,28.98,,Pool,QLD
CT2-10477,2026-03-06,Organic Search,Competitor Terms,desktop,answered,337,1,0,3.5,,DNI,NSW
CT2-10478,2026-03-07,Paid Search,Retarget Q1,desktop,missed,61,0,0,52.7,,DNI,NSW
CT2-10479,2026-03-08,Organic Search,Install Quote,desktop,abandoned,125,0,0,0,,Pool,VIC
CT2-10480,2026-03-09,Organic Search,Competitor Terms,mobile,answered,129,1,0,1.85,,Static,QLD
CT2-10481,2026-03-10,Organic Search,Retarget Q1,mobile,answered,224,0,0,0,,Pool,QLD
CT2-10482,2026-03-11,Direct,Local Suburb,mobile,answered,278,0,0,8.18,,Static,SA
CT2-10483,2026-03-12,Organic Search,Competitor Terms,desktop,answered,128,0,0,12.67,,Pool,NSW
CT2-10484,2026-03-13,Direct,Local Suburb,desktop,missed,30,0,0,2.91,,DNI,VIC
CT2-10485,2026-03-14,Paid Search,Local Suburb,desktop,answered,188,0,0,45.93,,Pool,SA
CT2-10486,2026-03-15,Organic Search,Retarget Q1,tablet,answered,0,0,0,0,,Static,SA
CT2-10487,2026-03-16,Paid Search,Install Quote,mobile,answered,169,0,0,61.48,,Static,SA
CT2-10488,2026-03-17,Paid Search,Install Quote,desktop,answered,85,0,0,41.23,,Static,SA
CT2-10489,2026-03-18,Paid Search,Emergency Repair,desktop,voicemail,99,0,0,68.77,,Static,QLD
CT2-10490,2026-03-19,Local SEO,Competitor Terms,tablet,missed,0,0,0,13.42,,DNI,VIC
CT2-10491,2026-03-20,Referral Partner,Retarget Q1,desktop,answered,244,1,0,6.03,,Pool,QLD
CT2-10492,2026-03-21,Referral Partner,Competitor Terms,tablet,answered,172,1,1,21.87,1095.65,Static,VIC
CT2-10493,2026-03-22,Social Paid,Local Suburb,tablet,answered,317,1,0,17.24,,Static,VIC
CT2-10494,2026-03-23,Direct,Local Suburb,mobile,answered,226,0,0,0,,DNI,QLD
CT2-10495,2026-03-24,Social Paid,Brand AU,desktop,missed,87,0,0,39.43,,Pool,SA
CT2-10496,2026-03-25,Organic Search,Competitor Terms,desktop,answered,188,1,1,19.97,1683.19,Pool,QLD
CT2-10497,2026-03-26,Organic Search,Install Quote,mobile,answered,81,0,0,0,,DNI,NSW
CT2-10498,2026-03-27,Paid Search,Brand AU,mobile,answered,214,1,0,54.62,,Pool,SA
CT2-10499,2026-03-28,Organic Search,Local Suburb,desktop,answered,266,0,0,17.0,,Pool,VIC
CT2-10500,2026-03-29,Social Paid,Retarget Q1,desktop,voicemail,205,0,0,33.11,,Pool,VIC
CT2-10501,2026-03-30,Local SEO,Emergency Repair,mobile,answered,167,1,0,8.01,,Static,SA
CT2-10502,2026-03-31,Organic Search,Brand AU,tablet,answered,22,0,0,0.53,,Static,QLD
CT2-10503,2026-04-01,Direct,Install Quote,tablet,answered,184,0,0,0,,Pool,QLD
CT2-10504,2026-04-02,Display,Service NSW,tablet,missed,234,0,0,31.02,,Pool,QLD
CT2-10505,2026-04-03,Organic Search,Retarget Q1,mobile,answered,47,0,0,5.81,,Static,NSW
CT2-10506,2026-04-04,Paid Search,Retarget Q1,mobile,answered,206,0,0,39.88,,Static,QLD
CT2-10507,2026-04-05,Direct,Competitor Terms,tablet,missed,71,0,0,4.11,,Static,VIC
CT2-10508,2026-04-06,Direct,Retarget Q1,desktop,answered,319,0,0,0,,Static,VIC
CT2-10509,2026-04-07,Paid Search,Competitor Terms,mobile,answered,183,1,0,58.05,,DNI,NSW
CT2-10510,2026-04-08,Organic Search,Retarget Q1,tablet,missed,0,0,0,7.67,,DNI,QLD
