stock_day,sku_group,fulfilment_site,orders_requested,orders_fulfilled,stockout_flag,fulfilment_cost,gross_sales_value,returns_count,margin_band,supplier_zone
2025-11-06,Lighting,Perth DC,68,46,0,664.59,1636.2,2,low,interstate
2025-11-07,Furniture,Sydney DC,11,9,1,50.92,1397.41,0,low,import
2025-11-08,Homewares,Brisbane DC,23,21,0,99.62,2696.67,0,low,interstate
2025-11-09,Homewares,Perth DC,35,27,1,326.38,6054.05,0,high,import
2025-11-10,Outdoor,Regional Overflow,72,65,0,807.57,10100.82,5,low,local
2025-11-11,Appliances,Brisbane DC,48,35,0,409.04,6157.15,1,high,interstate
2025-11-12,Homewares,Sydney DC,65,52,1,225.8,3218.97,0,high,interstate
2025-11-13,Outdoor,Sydney DC,8,5,0,69.97,978.45,1,low,local
2025-11-14,Appliances,Perth DC,74,59,1,582.12,13901.6,2,low,interstate
2025-11-15,Kitchen,Sydney DC,17,15,0,176.76,563.55,0,low,local
2025-11-16,Outdoor,Regional Overflow,23,15,1,174.8,1903.69,1,medium,interstate
2025-11-17,Furniture,Perth DC,9,8,0,114.74,,1,high,interstate
2025-11-18,Furniture,Melbourne DC,16,15,0,189.66,3178.02,1,medium,local
2025-11-19,Furniture,Perth DC,39,26,0,256.22,1980.85,1,medium,local
2025-11-20,Appliances,Perth DC,41,31,1,489.99,4532.72,2,low,local
2025-11-21,Outdoor,Regional Overflow,51,39,0,505.79,5733.89,2,low,interstate
2025-11-22,Furniture,Perth DC,76,58,1,1033.31,14703.68,2,high,local
2025-11-23,Appliances,Sydney DC,23,16,1,171.65,3509.71,0,low,interstate
2025-11-24,Kitchen,Regional Overflow,46,34,1,231.17,,0,high,local
2025-11-25,Homewares,Perth DC,48,35,0,558.58,2663.3,0,high,interstate
2025-11-26,Furniture,Melbourne DC,9,6,1,50.11,1268.87,0,low,import
2025-08-01,Homewares,Regional Overflow,10,8,1,90.4,311.82,1,low,import
2025-08-02,Homewares,Perth DC,30,23,1,167.68,3510.54,1,high,import
2025-08-03,Kitchen,Brisbane DC,17,15,0,122.21,2660.77,0,low,import
2025-08-04,Lighting,Melbourne DC,51,43,0,758.03,4980.79,1,high,local
2025-08-05,Lighting,Brisbane DC,12,9,0,153.8,1969.81,1,high,local
2025-08-06,Outdoor,Perth DC,25,22,0,123.45,3052.03,1,high,import
2025-08-07,Kitchen,Brisbane DC,78,62,1,885.18,12099.09,3,high,interstate
2025-08-08,Furniture,Sydney DC,55,51,0,467.65,10202.45,1,low,local
2025-08-09,Furniture,Regional Overflow,14,11,1,115.99,2341.27,0,medium,local
2025-08-10,Furniture,Regional Overflow,51,45,0,612.47,6827.61,0,low,interstate
2025-08-11,Appliances,Melbourne DC,62,48,1,218.55,10084.48,1,medium,local
2025-08-12,Homewares,Brisbane DC,41,31,1,384.8,3449.18,2,medium,local
2025-08-13,Outdoor,Brisbane DC,15,14,0,130.64,2290.36,1,high,local
2025-08-14,Appliances,Perth DC,78,60,0,944.79,5973.33,3,medium,interstate
2025-08-15,Homewares,Melbourne DC,33,24,1,163.76,745.25,0,medium,local
2025-08-16,Kitchen,Regional Overflow,79,54,0,385.86,11946.25,4,high,interstate
2025-08-17,Kitchen,Regional Overflow,48,43,0,280.41,10324.57,1,low,local
2025-08-18,Lighting,Sydney DC,38,35,0,425.19,3919.75,1,low,local
2025-08-19,Homewares,Perth DC,60,58,0,1045.38,5081.04,2,high,local
2025-08-20,Homewares,Brisbane DC,35,27,0,472.9,6920.7,1,high,interstate
2025-08-21,Homewares,Perth DC,62,44,1,642.24,4422.99,0,medium,interstate
2025-08-22,Appliances,Perth DC,57,55,0,230.3,9337.25,0,low,local
2025-08-23,Kitchen,Brisbane DC,41,31,0,267.93,1362.35,1,medium,import
2025-08-24,Furniture,Melbourne DC,11,8,0,145.26,908.03,1,medium,import
2025-08-25,Appliances,Brisbane DC,48,33,1,254.46,6506.9,2,medium,import
2025-08-26,Kitchen,Sydney DC,8,5,0,41.98,342.01,1,low,import
2025-08-27,Appliances,Brisbane DC,45,33,1,309.55,7352.65,1,high,interstate
2025-08-28,Kitchen,Brisbane DC,69,52,0,842.62,12439.95,3,high,interstate
2025-08-29,Appliances,Brisbane DC,76,67,0,687.94,6764.61,2,medium,local
2025-08-30,Furniture,Perth DC,50,43,0,388.0,2056.43,0,high,local
2025-08-31,Outdoor,Sydney DC,79,75,0,1274.31,11694.01,1,medium,local
2025-09-01,Kitchen,Perth DC,75,63,0,710.27,13684.85,3,low,local
2025-09-02,Kitchen,Perth DC,52,47,0,638.89,5873.6,1,medium,import
2025-09-03,Kitchen,Regional Overflow,19,16,0,117.52,2382.29,1,low,import
2025-09-04,Furniture,Brisbane DC,55,51,0,188.2,8506.24,1,high,interstate
2025-09-05,Appliances,Melbourne DC,51,37,1,596.72,7341.01,0,medium,local
2025-09-06,Outdoor,Melbourne DC,26,23,0,84.25,,1,low,interstate
2025-09-07,Lighting,Brisbane DC,61,42,1,608.6,4634.81,3,low,interstate
2025-09-08,Kitchen,Perth DC,33,23,1,225.3,3933.41,0,low,local
2025-09-09,Homewares,Regional Overflow,79,75,0,707.65,17682.36,2,medium,local
2025-09-10,Kitchen,Brisbane DC,59,56,0,654.44,6747.71,3,low,local
2025-09-11,Appliances,Brisbane DC,60,57,0,698.93,10846.39,4,medium,local
2025-09-12,Homewares,Brisbane DC,53,50,0,690.21,12546.78,1,medium,local
2025-09-13,Kitchen,Perth DC,69,51,1,901.5,7370.77,1,low,import
2025-09-14,Kitchen,Sydney DC,14,10,1,83.51,1546.57,1,high,import
2025-09-15,Homewares,Perth DC,16,15,0,100.12,1456.31,1,medium,interstate
2025-09-16,Homewares,Sydney DC,46,33,0,197.72,7364.27,2,medium,local
2025-09-17,Outdoor,Melbourne DC,17,14,0,54.84,3160.8,1,medium,local
2025-09-18,Appliances,Regional Overflow,61,42,1,480.28,3922.77,2,medium,import
2025-09-19,Outdoor,Melbourne DC,75,54,1,993.83,5375.94,2,low,local
2025-09-20,Outdoor,Regional Overflow,20,15,0,73.26,1345.68,0,medium,local
2025-09-21,Homewares,Brisbane DC,43,31,0,232.07,2027.31,2,high,local
2025-09-22,Appliances,Brisbane DC,35,27,1,206.75,2429.74,0,medium,import
2025-09-23,Homewares,Sydney DC,74,62,0,324.41,3517.46,1,medium,interstate
2025-09-24,Homewares,Sydney DC,76,61,1,652.84,10620.74,5,low,import
2025-09-25,Furniture,Regional Overflow,62,58,0,1004.67,9593.31,0,medium,import
2025-09-26,Kitchen,Perth DC,53,36,1,431.7,,1,low,import
2025-09-27,Kitchen,Brisbane DC,42,40,0,716.76,6775.05,0,medium,local
2025-09-28,Homewares,Brisbane DC,47,40,0,371.37,7636.06,2,medium,import
2025-09-29,Lighting,Brisbane DC,78,61,1,344.9,6366.87,0,medium,import
2025-09-30,Homewares,Melbourne DC,40,27,1,128.49,1468.86,2,high,interstate
2025-10-01,Kitchen,Sydney DC,32,31,0,512.79,2611.46,1,medium,interstate
2025-10-02,Outdoor,Sydney DC,66,51,0,874.39,10330.64,2,medium,import
2025-10-03,Furniture,Brisbane DC,54,36,1,243.54,8344.92,0,medium,interstate
2025-10-04,Homewares,Sydney DC,47,33,0,527.17,1471.78,0,medium,interstate
2025-10-05,Appliances,Sydney DC,51,40,1,596.68,4294.31,2,low,local
2025-10-06,Homewares,Melbourne DC,23,21,0,182.47,4502.29,1,medium,interstate
2025-10-07,Appliances,Brisbane DC,80,64,1,564.76,,5,low,interstate
2025-10-08,Outdoor,Brisbane DC,78,63,1,945.32,10498.88,1,high,interstate
2025-10-09,Furniture,Melbourne DC,44,37,0,226.03,9132.46,0,low,import
2025-10-10,Furniture,Sydney DC,15,10,1,63.93,1177.6,0,high,import
2025-10-11,Lighting,Regional Overflow,7,6,0,57.0,,1,medium,import
2025-10-12,Furniture,Regional Overflow,11,10,0,166.27,1212.15,0,high,interstate
2025-10-13,Kitchen,Melbourne DC,14,11,0,152.94,639.07,0,low,local
2025-10-14,Furniture,Brisbane DC,8,7,0,81.3,931.9,1,medium,local
2025-10-15,Lighting,Regional Overflow,49,38,1,209.15,8027.54,3,high,interstate
