interaction_id,call_id,lead_id,enquiry_ref,customer_id,interaction_date,created_at,month,source_channel,campaign_name,medium,device_type,region,call_count,lead_count,qualified_calls,qualified_leads,is_sales_qualified,opportunities,closed_won_count,booked_jobs,converted_flag,media_cost_aud,sales_value_aud,job_value_aud,revenue_aud,provided_qualified_rate_pct,provided_conversion_rate_pct,call_status,lead_status,outcome_status
INT-00111,,LEAD-050124,ENQ-07055,CUST-DUP-01,2026-02-17,2026-02-17T14:21:00,2026-02,Paid Social,Retargeting Social,cpc,Tablet,VIC,2,6,0,3,1,1,0,0,0,550.64,1864.31,,,50,0,missed,opportunity,won
INT-00112,CALL-030111,LEAD-050125,ENQ-07055,CUST-01041,2026-01-11,2026-01-11T14:41:00,2026-01,Organic Search,Organic Maps,ORGANIC,Tablet,VIC,2,4,0,1,1,0,0,0,0,,,,,25,0,answered,qualified,booked
INT-00113,CALL-030112,LEAD-050126,ENQ-07056,CUST-01052,2026-01-29,2026-01-29T16:22:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Desktop,SA,4,2,1,0,1,0,0,0,0,263.39,,,,0,0,missed,closed_won,no_answer
INT-00114,CALL-030113,,ENQ-07056,CUST-01054,2026-02-18,2026-02-18T13:19:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Mobile,NSW,3,4,1,2,1,1,0,0,0,582.26,1380.59,,,50,119,missed,opportunity,booked
INT-00115,,LEAD-050128,ENQ-07057,CUST-01049,2025-12-22,2025-12-22T16:51:00,2025-12,Paid Search,High Intent Search,cpc,Mobile,WA,0,2,0,0,0,0,0,0,0,97.58,,,,0,0,abandoned,closed_lost,booked
INT-00116,CALL-030115,LEAD-050129,ENQ-07057,CUST-01038,2026-02-20,2026-02-20T09:04:00,2026-02,Email,Nurture Reactivation,email,Desktop,QLD,1,3,0,0,0,0,0,0,0,,,,,0,0,answered,qualified,pending
INT-00117,CALL-030116,LEAD-050131,ENQ-07058,CUST-01052,2026-02-09,2026-02-09T10:58:00,2026-02,Paid Search,EMERGENCY LEAD CAPTURE,cpc,Tablet,TAS,1,1,0,0,1,0,0,0,0,135.2,,,,0,0,missed,new,no_answer
INT-00118,CALL-030117,,ENQ-07058,CUST-01046,2026-03-02,2026-03-02T14:28:00,2026-03,Email,Nurture Reactivation,email,Desktop,TAS,2,7,0,3,1,1,0,0,0,,866.8,,,,0,abandoned,opportunity,pending
INT-00119,,LEAD-050133,ENQ-07059,CUST-01056,2026-03-26,2026-03-26T14:08:00,2026-03,Organic Search,Organic Maps,organic,Tablet,QLD,0,0,0,0,0,0,0,0,0,,,,,,,answered,closed_won,pending
INT-00120,,LEAD-050134,ENQ-DUP-007,CUST-01039,2026-01-20,2026-01-20T12:34:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Tablet,WA,2,5,1,2,1,1,0,0,0,,380.23,,,40,0,abandoned,opportunity,pending
INT-00121,,LEAD-050135,ENQ-07060,CUST-01051,2026-01-03,2026-01-03T15:04:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Mobile,TAS,2,1,0,0,1,0,0,1,1,309.39,,1125.07,,0,0,voicemail,disqualified,booked
INT-00122,,,ENQ-07060,CUST-DUP-02,2026-03-19,2026-03-19T11:52:00,2026-03,Display,Display Awareness,display,Tablet,TAS,0,4,0,0,0,0,0,0,0,114.68,,,,0,0,missed,closed_won,pending
INT-00123,,LEAD-050137,ENQ-07061,CUST-01042,2026-03-13,2026-03-13T12:43:00,2026-03,Display,YouTube Display,display,Mobile,VIC,2,2,0,1,1,0,0,0,0,318.45,,,,50,0,voicemail,qualified,no_answer
INT-00124,CALL-030123,LEAD-050138,ENQ-07061,CUST-01042,2025-12-27,2025-12-27T10:30:00,2025-12,Paid Search,Emergency Lead Capture,cpc,Mobile,WA,6,1,3,0,1,0,0,0,0,578.35,,,,0,0,abandoned,closed_lost,booked
INT-00125,,LEAD-050140,ENQ-07062,CUST-01044,2026-01-09,2026-01-09T16:32:00,2026-01,display,Programmatic Retargeting,display,Desktop,TAS,1,3,0,2,1,0,0,0,0,213.95,,,,66.67,0,answered,qualified,no_answer
INT-00126,,LEAD-050141,ENQ-07062,CUST-01053,2026-02-26,2026-02-26T12:24:00,2026-02,Paid Social,Retargeting Social,cpc,Desktop,QLD,4,2,1,0,1,1,0,0,0,465.77,1086.76,,,0,0,voicemail,opportunity,won
INT-00127,,,ENQ-07063,CUST-01046,2025-12-16,2025-12-16T13:35:00,2025-12,Paid Social,Lookalike Call Trial,cpc,Mobile,TAS,3,5,1,1,1,0,0,0,0,480.8,,,,,0,answered,qualified,won
INT-00128,CALL-030127,LEAD-050143,ENQ-07063,CUST-01059,2026-02-06,2026-02-06T14:13:00,2026-02,Paid Search,High Intent Search,cpc,Desktop,QLD,3,5,0,3,1,1,0,1,1,398.44,1155.84,938.05,,60,0,abandoned,opportunity,booked
INT-00129,CALL-030128,LEAD-050144,ENQ-07064,CUST-01051,2026-03-18,2026-03-18T08:46:00,2026-03,Paid Search,Emergency Lead Capture,cpc,Mobile,NSW,3,3,1,2,1,1,0,0,0,402.88,,,,66.67,0,voicemail,opportunity,no_answer
INT-00130,,LEAD-050145,ENQ-07064,CUST-01048,2026-03-10,2026-03-10T10:44:00,2026-03,Referral,Broker Referral,referral,Tablet,SA,0,3,0,1,1,0,0,0,0,,,,,33.33,0,abandoned,qualified,pending
INT-00131,CALL-030130,,ENQ-07065,CUST-01045,2026-01-16,2026-01-16T13:55:00,2026-01,Paid Search,Brand Protect AU,cpc,Mobile,NSW,2,2,1,0,1,0,0,0,0,196.76,,,,0,0,abandoned,closed_won,pending
INT-00132,,LEAD-050148,ENQ-07065,CUST-01046,2026-03-02,2026-03-02T11:22:00,2026-03,Paid Search,Emergency Lead Capture,cpc,Desktop,WA,4,3,1,1,1,0,0,1,1,360.02,,2431.51,,33.33,0,voicemail,qualified,booked
INT-00133,CALL-030132,LEAD-050149,ENQ-07066,CUST-DUP-03,2026-03-30,2026-03-30T09:57:00,2026-03,Referral,Partner Network,referral,Desktop,SA,3,2,0,0,0,0,0,0,0,,,,,0,0,answered,closed_won,no_answer
INT-00134,CALL-030133,,ENQ-07066,CUST-01058,2026-02-06,2026-02-06T17:08:00,2026-02,Paid Search,Brand Protect AU,cpc,Mobile,NSW,4,4,2,2,1,0,0,0,0,393.04,,,,50,,voicemail,qualified,won
INT-00135,CALL-030134,LEAD-050151,ENQ-07067,CUST-01050,2025-12-28,2025-12-28T09:08:00,2025-12,Paid Search,High Intent Search,cpc,Desktop,TAS,1,2,0,1,1,0,0,0,0,185.18,,,,50,,missed,qualified,lost
INT-00136,CALL-030135,LEAD-050152,ENQ-07067,CUST-01056,2026-01-24,2026-01-24T10:34:00,2026-01,Direct,Returning Visitors,direct,Tablet,TAS,2,4,0,2,1,1,0,0,0,,,,,50,0,missed,opportunity,booked
INT-00137,CALL-030136,LEAD-050153,ENQ-DUP-008,CUST-01058,2026-03-21,2026-03-21T16:37:00,2026-03,Paid Social,Meta Lead Gen NSW,cpc,Tablet,SA,2,0,0,0,0,0,0,0,0,152.16,,,,,,voicemail,closed_lost,pending
INT-00138,CALL-030137,LEAD-050154,ENQ-07068,CUST-01048,2026-02-22,2026-02-22T17:33:00,2026-02,Paid Social,Meta Lead Gen NSW,cpc,Mobile,QLD,1,2,0,1,1,0,0,1,1,154.54,,2275.98,,50,0,answered,qualified,booked
INT-00139,,LEAD-050155,ENQ-07069,CUST-01049,2026-02-27,2026-02-27T14:52:00,2026-02,Paid Social,Lookalike Call Trial,cpc,Mobile,QLD,5,1,3,0,1,0,0,0,0,704.92,,,,0,0,voicemail,closed_won,pending
INT-00140,CALL-030139,LEAD-050157,ENQ-07069,CUST-01054,2026-02-14,2026-02-14T14:47:00,2026-02,Organic Search,SEO Local Pages,organic,Tablet,NSW,2,2,0,0,0,0,0,0,0,,,,,0,0,answered,opportunity,booked
INT-00141,CALL-030140,LEAD-050158,ENQ-07070,CUST-01057,2025-12-20,2025-12-20T15:12:00,2025-12,Paid Social,Retargeting Social,cpc,Tablet,NSW,5,5,3,3,1,1,0,0,0,456.67,2033.05,,,,0,abandoned,opportunity,booked
INT-00142,CALL-030141,LEAD-050159,ENQ-07070,CUST-01054,2026-04-01,2026-04-01T15:20:00,2026-04,Paid Social,Retargeting Social,cpc,Desktop,VIC,0,5,0,3,1,1,0,0,0,158.51,368.57,,,60,0,answered,opportunity,won
INT-00143,CALL-030142,LEAD-050160,ENQ-07071,CUST-01048,2026-03-15,2026-03-15T11:47:00,2026-03,Paid Search,High Intent Search,cpc,Tablet,VIC,3,3,1,1,1,0,0,0,0,431.66,,,,33.33,0,answered,qualified,won
INT-00144,CALL-030143,LEAD-050161,ENQ-07071,CUST-DUP-04,2026-02-26,2026-02-26T08:20:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Tablet,TAS,3,6,1,3,1,1,0,1,1,315.03,1339.93,2211.63,,50,0,voicemail,opportunity,booked
INT-00145,,LEAD-050162,ENQ-07072,CUST-01052,2026-02-11,2026-02-11T15:00:00,2026-02,Organic Search,SEO Local Pages,organic,Desktop,SA,0,6,0,2,1,1,0,0,0,,428.42,,,,0,voicemail,opportunity,booked
INT-00146,CALL-030145,,ENQ-07072,CUST-01055,2026-03-22,2026-03-22T17:31:00,2026-03,Organic Search,ORGANIC MAPS,organic,Desktop,VIC,3,4,0,2,1,2,1,1,1,,965.61,2936.88,2772.05,50,25,voicemail,closed_won,booked
INT-00147,,LEAD-050164,ENQ-07073,CUST-01051,2026-01-19,2026-01-19T13:55:00,2026-01,Paid Social,Retargeting Social,cpc,Mobile,QLD,2,2,0,0,0,1,0,0,0,233.03,1435.02,,,0,0,answered,opportunity,won
INT-00148,CALL-030147,LEAD-050166,ENQ-07073,CUST-01059,2025-12-16,2025-12-16T11:48:00,2025-12,Organic Search,SEO Local Pages,organic,Desktop,SA,1,0,0,0,0,0,0,0,0,,,,,,,missed,opportunity,pending
INT-00149,CALL-030148,LEAD-050167,ENQ-07074,CUST-01064,2025-12-26,2025-12-26T08:50:00,2025-12,Paid Search,High Intent Search,CPC,Desktop,SA,2,5,1,2,1,0,0,0,0,454.59,,,,40,0,abandoned,qualified,pending
INT-00150,,,ENQ-07074,CUST-01058,2026-02-16,2026-02-16T17:39:00,2026-02,Referral,Partner Network,referral,Tablet,VIC,2,1,0,0,0,0,0,0,0,,,,,0,,abandoned,new,no_answer
INT-00151,,,ENQ-07075,CUST-01058,2026-01-14,2026-01-14T10:35:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Tablet,QLD,4,2,2,0,1,0,0,0,0,439.62,,,,0,0,voicemail,qualified,no_answer
INT-00152,CALL-030151,,ENQ-07075,CUST-01059,2026-03-27,2026-03-27T11:41:00,2026-03,Direct,Phone Number Recall,direct,Mobile,VIC,1,1,0,0,0,0,0,0,0,,,,,0,0,abandoned,closed_won,no_answer
INT-00153,CALL-030152,LEAD-050171,ENQ-07076,CUST-01052,2026-01-28,2026-01-28T11:29:00,2026-01,Display,YouTube Display,display,Desktop,SA,4,1,0,0,1,0,0,0,0,477.54,,,,,0,abandoned,closed_lost,lost
INT-00154,,,ENQ-DUP-009,CUST-01063,2026-01-22,2026-01-22T12:44:00,2026-01,Direct,Phone Number Recall,direct,Tablet,SA,3,4,1,1,1,0,0,1,1,,,1643.08,,25,0,answered,qualified,booked
INT-00155,CALL-030154,LEAD-050174,ENQ-07077,CUST-DUP-05,2026-02-19,2026-02-19T17:42:00,2026-02,Display,Display Awareness,display,Mobile,QLD,6,2,2,0,1,0,0,0,0,422.27,,,,0,0,missed,opportunity,booked
INT-00156,CALL-030155,LEAD-050175,ENQ-07077,CUST-01053,2026-04-01,2026-04-01T16:00:00,2026-04,display,Display Awareness,display,Mobile,SA,2,5,0,2,1,0,0,0,0,409.63,,,,40,0,abandoned,qualified,pending
INT-00157,CALL-030156,LEAD-050176,ENQ-07078,CUST-01052,2026-01-10,2026-01-10T13:51:00,2026-01,Paid Social,Retargeting Social,cpc,Tablet,NSW,2,5,0,3,1,2,1,1,1,482.63,1557.79,2328.86,1385.05,60,20,voicemail,closed_won,booked
INT-00158,CALL-030157,LEAD-050177,ENQ-07078,CUST-01058,2026-01-15,2026-01-15T10:57:00,2026-01,Paid Social,Meta Lead Gen NSW,cpc,Mobile,SA,5,1,1,0,1,0,0,1,1,732.35,,974.68,,0,0,voicemail,closed_lost,booked
INT-00159,CALL-030158,LEAD-050178,ENQ-07079,CUST-01061,2026-02-07,2026-02-07T13:32:00,2026-02,Email,Quote Follow Up,email,Mobile,NSW,0,7,0,4,1,2,0,0,0,,840.51,,,57.14,0,abandoned,opportunity,pending
INT-00160,CALL-030159,,ENQ-07079,CUST-01069,2026-02-20,2026-02-20T13:16:00,2026-02,Email,Newsletter Promo,email,Tablet,NSW,1,5,0,3,1,2,0,0,0,,1791.72,,,60,0,abandoned,opportunity,pending
INT-00161,,LEAD-050180,ENQ-07080,CUST-01066,2026-02-13,2026-02-13T16:27:00,2026-02,Paid Search,Brand Protect AU,cpc,Mobile,NSW,1,5,0,1,1,0,0,0,0,246.98,,,,20,0,voicemail,qualified,pending
INT-00162,CALL-030161,,ENQ-07080,CUST-01068,2026-02-03,2026-02-03T15:14:00,2026-02,Paid Search,High Intent Search,cpc,Mobile,TAS,3,5,1,2,1,1,0,0,0,681.1,600.9,,,40,0,voicemail,opportunity,booked
INT-00163,CALL-030162,LEAD-050183,ENQ-07081,CUST-01060,2026-02-25,2026-02-25T14:46:00,2026-02,Paid Social,Lookalike Call Trial,cpc,Tablet,QLD,3,1,2,0,1,0,0,0,0,363.7,,,,,0,voicemail,new,booked
INT-00164,CALL-030163,LEAD-050184,ENQ-07081,CUST-01056,2026-01-15,2026-01-15T09:17:00,2026-01,Paid Search,Brand Protect AU,cpc,Mobile,QLD,3,0,1,0,1,0,0,0,0,225.74,,,,,,abandoned,new,no_answer
INT-00165,CALL-030164,LEAD-050185,ENQ-07082,CUST-01061,2026-03-27,2026-03-27T14:37:00,2026-03,Organic Search,SEO Local Pages,organic,Mobile,SA,2,6,1,2,1,0,0,0,0,,,,,33.33,0,missed,qualified,pending
INT-00166,CALL-030165,LEAD-050186,ENQ-07082,CUST-DUP-06,2026-02-02,2026-02-02T08:47:00,2026-02,Organic Search,Content Hub,organic,Mobile,NSW,0,4,0,2,1,2,0,0,0,,3758.81,,,50,0,missed,opportunity,lost
INT-00167,CALL-030166,LEAD-050187,ENQ-07083,CUST-01067,2026-02-13,2026-02-13T09:27:00,2026-02,Referral,Broker Referral,referral,Mobile,TAS,3,4,4,2,1,1,0,0,0,,626.45,,,50,0,abandoned,opportunity,no_answer
INT-00168,CALL-030167,LEAD-050188,ENQ-07083,CUST-01070,2026-03-27,2026-03-27T09:40:00,2026-03,Direct,Direct / Unknown,direct,Desktop,TAS,2,0,0,0,0,0,0,0,0,,,,,,,abandoned,opportunity,lost
INT-00169,CALL-030168,LEAD-050189,ENQ-07084,CUST-01068,2026-03-06,2026-03-06T11:02:00,2026-03,Referral,Affiliate Warm Leads,referral,Desktop,QLD,3,4,1,2,1,1,0,1,1,,1013.05,1443.1,,50,0,answered,opportunity,booked
INT-00170,CALL-030169,,ENQ-07084,CUST-01070,2026-01-18,2026-01-18T14:57:00,2026-01,Paid Search,High Intent Search,cpc,Desktop,VIC,5,3,3,0,1,0,0,0,0,705.38,,,,0,0,missed,closed_won,booked
INT-00171,,LEAD-050192,ENQ-DUP-010,CUST-01062,2026-02-26,2026-02-26T10:55:00,2026-02,Direct,Direct / Unknown,direct,Desktop,NSW,1,3,0,1,1,0,0,1,1,,,1624.86,,33.33,0,missed,qualified,booked
INT-00172,CALL-030171,LEAD-050193,ENQ-07085,CUST-01062,2026-01-31,2026-01-31T11:50:00,2026-01,Email,Nurture Reactivation,email,Tablet,QLD,3,6,0,3,1,2,1,2,1,,2869.67,4050.36,,50,16.67,abandoned,closed_won,booked
INT-00173,CALL-030172,LEAD-050194,ENQ-07086,CUST-01061,2026-02-21,2026-02-21T14:52:00,2026-02,Referral,Affiliate Warm Leads,referral,Mobile,WA,3,6,1,2,1,1,0,0,0,,1332.39,,,33.33,0,answered,opportunity,booked
INT-00174,CALL-030173,LEAD-050195,ENQ-07086,CUST-01071,2026-01-15,2026-01-15T08:09:00,2026-01,Paid Search,High Intent Search,cpc,Mobile,TAS,3,4,0,1,1,0,0,0,0,274.6,,,,25,0,abandoned,qualified,won
INT-00175,CALL-030174,LEAD-050196,ENQ-07087,CUST-01059,2026-03-27,2026-03-27T10:13:00,2026-03,Paid Social,LOOKALIKE CALL TRIAL,cpc,Tablet,WA,2,4,1,2,1,1,0,0,0,429.5,1053.42,,,50,0,voicemail,opportunity,won
INT-00176,CALL-030175,LEAD-050197,ENQ-07087,CUST-01061,2025-12-19,2025-12-19T13:17:00,2025-12,Paid Search,High Intent Search,cpc,Mobile,TAS,5,5,2,1,1,0,0,1,1,483.06,,2528.99,,,0,answered,qualified,booked
INT-00177,,LEAD-050198,ENQ-07088,CUST-DUP-07,2026-03-05,2026-03-05T12:22:00,2026-03,Referral,Affiliate Warm Leads,referral,Mobile,VIC,1,3,0,1,1,0,0,0,0,,,,,33.33,0,voicemail,qualified,booked
INT-00178,,LEAD-050200,ENQ-07088,CUST-01073,2026-01-18,2026-01-18T09:15:00,2026-01,Direct,Returning Visitors,direct,Mobile,VIC,2,0,0,0,0,0,0,0,0,,,,,,,missed,disqualified,pending
INT-00179,,LEAD-050201,ENQ-07089,CUST-01059,2026-01-11,2026-01-11T13:46:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Tablet,TAS,1,4,0,2,1,0,0,0,0,214.96,,,,50,0,voicemail,qualified,lost
INT-00180,,LEAD-050202,ENQ-07089,CUST-01074,2026-03-03,2026-03-03T11:10:00,2026-03,Paid Social,Lookalike Call Trial,cpc,Tablet,NSW,2,3,0,1,1,0,0,0,0,435.9,,,,33.33,0,answered,qualified,no_answer
INT-00181,CALL-030180,LEAD-050203,ENQ-07090,CUST-01062,2026-02-03,2026-02-03T12:34:00,2026-02,Direct,Returning Visitors,direct,Desktop,SA,2,4,1,1,1,0,0,0,0,,,,,25,0,voicemail,qualified,won
INT-00182,CALL-030181,,ENQ-07090,CUST-01069,2026-02-14,2026-02-14T08:41:00,2026-02,Paid Social,Meta Lead Gen NSW,cpc,Tablet,QLD,5,2,3,0,1,0,0,0,0,707.19,,,,0,0,abandoned,new,booked
INT-00183,CALL-030182,LEAD-050205,ENQ-07091,CUST-01067,2026-02-03,2026-02-03T13:23:00,2026-02,Paid Social,Retargeting Social,cpc,Tablet,TAS,5,3,2,1,1,0,0,0,0,611.51,,,,33.33,0,answered,qualified,booked
INT-00184,CALL-030183,,ENQ-07091,CUST-01066,2026-02-27,2026-02-27T10:47:00,2026-02,Email,Newsletter Promo,email,Tablet,VIC,3,4,1,2,1,1,0,0,0,,1655.11,,,50,0,answered,opportunity,booked
INT-00185,CALL-030184,,ENQ-07092,CUST-01062,2026-03-08,2026-03-08T11:20:00,2026-03,Paid Search,High Intent Search,cpc,Desktop,NSW,0,3,0,1,1,0,0,0,0,143.85,,,,33.33,0,missed,qualified,no_answer
INT-00186,,LEAD-050209,ENQ-07092,CUST-01076,2026-01-23,2026-01-23T13:08:00,2026-01,Paid Search,High Intent Search,CPC,Tablet,NSW,5,1,2,0,1,1,0,0,0,632.74,1674.24,,,0,0,answered,opportunity,no_answer
INT-00187,,,ENQ-07093,CUST-01071,2026-01-23,2026-01-23T10:14:00,2026-01,paid social,Retargeting Social,cpc,Desktop,NSW,3,3,1,0,1,0,0,1,1,352.91,,2446.11,,0,0,voicemail,qualified,booked
INT-00188,CALL-030187,LEAD-050211,ENQ-DUP-011,CUST-DUP-08,2026-01-19,2026-01-19T13:28:00,2026-01,Organic Search,SEO Local Pages,organic,Tablet,TAS,1,4,0,0,1,0,0,0,0,,,,,0,0,missed,qualified,booked
INT-00189,,,ENQ-07094,CUST-01069,2026-03-09,2026-03-09T16:33:00,2026-03,Organic Search,Content Hub,organic,Tablet,WA,0,4,0,1,1,0,0,0,0,,,,,25,0,voicemail,qualified,no_answer
INT-00190,,LEAD-050213,ENQ-07094,CUST-01075,2026-01-18,2026-01-18T12:00:00,2026-01,Paid Social,Lookalike Call Trial,cpc,Tablet,SA,6,3,2,1,1,0,0,0,0,444.89,,,,,0,voicemail,qualified,lost
INT-00191,CALL-030190,LEAD-050214,ENQ-07095,CUST-01066,2026-03-15,2026-03-15T15:53:00,2026-03,Paid Social,Meta Lead Gen NSW,cpc,Desktop,SA,4,2,1,1,1,0,0,0,0,302.52,,,,50,0,missed,qualified,booked
INT-00192,CALL-030191,LEAD-050215,ENQ-07095,CUST-01064,2026-03-20,2026-03-20T09:06:00,2026-03,Organic Search,Content Hub,organic,Mobile,NSW,3,3,0,1,1,0,0,0,0,,,,,33.33,0,voicemail,qualified,no_answer
INT-00193,CALL-030192,,ENQ-07096,CUST-01081,2026-01-22,2026-01-22T13:03:00,2026-01,Paid Search,Brand Protect AU,cpc,Tablet,VIC,6,2,3,0,1,0,0,0,0,668.18,,,,0,0,answered,disqualified,won
INT-00194,,LEAD-050218,ENQ-07096,CUST-01072,2026-01-11,2026-01-11T16:08:00,2026-01,Display,YouTube Display,display,Tablet,TAS,4,3,2,2,1,1,0,0,0,388.56,763.95,,,66.67,0,missed,opportunity,won
INT-00195,CALL-030194,LEAD-050219,ENQ-07097,CUST-01066,2026-02-14,2026-02-14T11:31:00,2026-02,Display,YouTube Display,display,Desktop,SA,5,0,3,0,1,0,0,0,0,684.48,,,,,,answered,closed_won,no_answer
INT-00196,CALL-030195,LEAD-050220,ENQ-07097,CUST-01079,2026-01-14,2026-01-14T14:23:00,2026-01,Paid Search,Emergency Lead Capture,cpc,Tablet,SA,2,3,0,1,1,0,0,0,0,315.62,,,,33.33,0,answered,qualified,booked
INT-00197,CALL-030196,,ENQ-07098,CUST-01069,2026-02-25,2026-02-25T12:54:00,2026-02,Email,Quote Follow Up,email,Mobile,SA,3,7,1,2,1,1,0,0,0,,,,,28.57,0,missed,opportunity,lost
INT-00198,CALL-030197,LEAD-050222,ENQ-07098,CUST-01069,2025-12-15,2025-12-15T16:38:00,2025-12,Referral,Affiliate Warm Leads,referral,Mobile,QLD,0,1,0,0,0,0,0,0,0,,,,,0,0,missed,disqualified,lost
INT-00199,CALL-030198,LEAD-050223,ENQ-07099,CUST-DUP-00,2026-01-07,2026-01-07T12:35:00,2026-01,Referral,Broker Referral,referral,Tablet,SA,1,3,0,1,1,0,0,0,0,,,,,33.33,0,missed,qualified,won
INT-00200,,LEAD-050224,ENQ-07099,CUST-01080,2025-12-30,2025-12-30T17:12:00,2025-12,Organic Search,Content Hub,organic,Tablet,VIC,3,2,0,1,1,0,0,1,1,,,1038.42,,50,0,answered,qualified,booked
INT-00201,CALL-030200,LEAD-050225,ENQ-07100,CUST-01081,2026-02-20,2026-02-20T14:55:00,2026-02,Paid Social,Retargeting Social,cpc,Desktop,TAS,1,4,0,2,1,0,0,0,0,336.06,,,,50,0,voicemail,qualified,lost
INT-00202,CALL-030201,LEAD-050227,ENQ-07100,CUST-01070,2026-04-01,2026-04-01T13:43:00,2026-04,Referral,Broker Referral,referral,Desktop,QLD,1,3,0,1,1,0,0,1,1,,,1684.79,,33.33,0,voicemail,qualified,booked
INT-00203,,LEAD-050228,ENQ-07101,CUST-01084,2025-12-16,2025-12-16T08:51:00,2025-12,Referral,Partner Network,referral,Desktop,VIC,1,2,0,0,1,0,0,0,0,,,,,148,0,abandoned,closed_won,pending
INT-00204,CALL-030203,LEAD-050229,ENQ-07101,CUST-01078,2026-01-25,2026-01-25T17:21:00,2026-01,Email,QUOTE FOLLOW UP,email,Mobile,QLD,0,4,0,2,1,1,0,0,0,,2096.07,,,,0,abandoned,opportunity,lost
INT-00205,CALL-030204,LEAD-050230,ENQ-DUP-012,CUST-01085,2026-01-05,2026-01-05T09:38:00,2026-01,Paid Search,Brand Protect AU,cpc,Tablet,QLD,1,4,0,1,1,0,0,0,0,232.75,,,,25,0,answered,qualified,pending
INT-00206,CALL-030205,,ENQ-07102,CUST-01072,2026-02-25,2026-02-25T16:12:00,2026-02,Paid Search,Emergency Lead Capture,cpc,Desktop,TAS,2,4,0,2,1,1,0,0,0,,865.63,,,50,0,abandoned,opportunity,booked
INT-00207,CALL-030206,LEAD-050232,ENQ-07103,CUST-01084,2026-02-10,2026-02-10T17:36:00,2026-02,Organic Search,Organic Maps,organic,Mobile,SA,2,0,0,0,0,0,0,0,0,,,,,,,voicemail,closed_lost,won
INT-00208,CALL-030207,LEAD-050233,ENQ-07103,CUST-01084,2026-03-18,2026-03-18T16:13:00,2026-03,Direct,Direct / Unknown,direct,Tablet,TAS,1,4,0,1,1,0,0,0,0,,,,,25,0,voicemail,qualified,lost
INT-00209,CALL-030208,LEAD-050235,ENQ-07104,CUST-01085,2026-03-01,2026-03-01T08:35:00,2026-03,Paid Search,Emergency Lead Capture,cpc,Desktop,VIC,3,1,1,0,1,0,0,0,0,283.27,,,,0,0,voicemail,qualified,pending
INT-00210,CALL-030209,LEAD-050236,ENQ-07104,CUST-DUP-01,2026-03-11,2026-03-11T10:32:00,2026-03,Direct,Returning Visitors,direct,Desktop,WA,1,4,0,2,1,0,0,0,0,,,,,50,0,voicemail,qualified,booked
INT-00211,CALL-030210,LEAD-050237,ENQ-07105,CUST-01077,2026-02-01,2026-02-01T17:10:00,2026-02,Paid Search,High Intent Search,cpc,Mobile,VIC,3,6,0,3,1,1,0,0,0,359.69,804.23,,,50,0,missed,opportunity,booked
INT-00212,,LEAD-050238,ENQ-07105,CUST-01074,2026-01-19,2026-01-19T09:25:00,2026-01,Email,Nurture Reactivation,email,Tablet,NSW,3,3,1,0,1,0,0,0,0,,,,,0,0,abandoned,closed_lost,no_answer
INT-00213,,LEAD-050239,ENQ-07106,CUST-01075,2026-01-29,2026-01-29T16:22:00,2026-01,Display,Programmatic Retargeting,display,Desktop,QLD,4,6,2,4,1,1,0,0,0,383.11,1727.01,,,66.67,0,answered,opportunity,lost
INT-00214,CALL-030213,LEAD-050240,ENQ-07106,CUST-01079,2026-03-26,2026-03-26T12:01:00,2026-03,Paid Social,Retargeting Social,cpc,Mobile,QLD,3,6,1,3,1,1,0,0,0,640.95,1961.89,,,50,,answered,opportunity,lost
INT-00215,CALL-030214,LEAD-050241,ENQ-07107,CUST-01084,2026-02-27,2026-02-27T16:02:00,2026-02,Email,Newsletter Promo,email,Desktop,SA,3,4,1,2,1,1,0,0,0,,460.83,,,50,,answered,opportunity,won
INT-00216,CALL-030215,LEAD-050242,ENQ-07107,CUST-01078,2025-12-17,2025-12-17T14:07:00,2025-12,Referral,Partner Network,referral,Desktop,TAS,0,4,0,2,1,0,0,0,0,,,,,50,0,abandoned,qualified,pending
INT-00217,CALL-030216,LEAD-050244,ENQ-07108,CUST-01089,2025-12-22,2025-12-22T15:36:00,2025-12,Paid Search,Emergency Lead Capture,cpc,Desktop,WA,1,1,0,0,0,0,0,0,0,99.1,,,,0,0,abandoned,closed_won,pending
INT-00218,,LEAD-050245,ENQ-07108,CUST-01086,2026-03-10,2026-03-10T13:21:00,2026-03,organic search,Content Hub,organic,Mobile,TAS,2,2,1,0,1,1,0,0,0,,400.96,,,0,0,abandoned,opportunity,pending
INT-00219,CALL-030218,,ENQ-07109,CUST-01076,2025-12-19,2025-12-19T08:01:00,2025-12,Referral,Partner Network,referral,Desktop,TAS,3,4,0,2,1,1,0,1,1,,1160.82,2310.55,,50,0,missed,opportunity,booked
